ticket_id,text_snippet,topic,urgency,next_action,confidence,missing_info,missing_fields,requires_human_review,short_note,action_status,action_target,action_note,retrieval_seconds,llm_seconds,validation_seconds,reviewer_seconds,routing_seconds,action_execution_seconds,total_ticket_seconds,reviewer_used,reviewer_model,reviewer_changed_topic,reviewer_changed_urgency,reviewer_trigger_flags,first_topic,first_urgency,first_confidence,first_short_note,reviewer_note,validator_flags,validator_notes,neighbor_predicted_topic,neighbor_topic_confidence,neighbor_predicted_priority,neighbor_priority_confidence,actual_queue,actual_priority,actual_type,proxy_topic,proxy_urgency,proxy_next_action,proxy_topic_source
ec9455212ac7bbec,"Urgent Request for Invoice Clarification and Payment Issues  Dear Customer Support,  I am writing to urgently request clarification on the recent invoice we received regarding AWS Management Service. It appears there are discrepancies in th",Billing / Payment,High,escalate_to_human_supervisor,0.99,False,[],False,Urgent request for invoice clarification and payment issues with AWS Management Service,simulated_success,human_supervisor_queue,Simulated action: escalate ticket to a human supervisor.,0.7004,5.3559,0.0,0.0,0.0,0.0,6.0564,False,,False,False,[],Billing / Payment,High,0.99,Urgent request for invoice clarification and payment issues with AWS Management Service,,[],[],Billing / Payment,1.0,high,0.6014,Billing and Payments,high,Request,Billing / Payment,High,forward_to_billing_team,queue_mapping
24eca46b394551ed,"Demande de retour d'un MacBook Air défectueux  Bonjour, j'ai acheté un MacBook Air M1 dans votre magasin et j'ai trouvé un défaut dans le pavé tactile de la machine. Veuillez m'assister dans le processus de retour. Mon numéro de commande es",Claims / Damage,High,escalate_to_human_supervisor,0.92,False,[],False,"Customer reports a defective MacBook Air with a faulty touchpad, requesting return and exchange under warranty.",simulated_success,human_supervisor_queue,Simulated action: escalate ticket to a human supervisor.,0.0407,2.6034,0.0,0.0,0.0,0.0,2.6441,False,,False,False,[],Claims / Damage,High,0.92,"Customer reports a defective MacBook Air with a faulty touchpad, requesting return and exchange under warranty.",,[],[],Claims / Damage,0.5986,high,0.7989,Returns and Exchanges,low,Request,Claims / Damage,Low,create_or_update_claim,queue_mapping
45d88b9c52df7dc1,"Demande sur les services informatiques  Bonjour, J'ai quelques questions générales concernant votre processus de développement logiciel et j'apprécierais tout conseil sur l'administration des serveurs. Le produit concerné est votre service ",Other,Low,send_standard_faq_or_self_service_link,0.8,False,[],False,"Ticket is too vague to classify, but neighbor evidence suggests a general inquiry about IT services.",simulated_success,self_service_faq,Simulated action: send standard FAQ or self-service link to the customer.,0.0438,2.7274,0.0,0.0,0.0,0.0,2.7712,False,,False,False,[],Other,Low,0.8,"Ticket is too vague to classify, but neighbor evidence suggests a general inquiry about IT services.",,[],[],Other,0.8006,low,0.8006,General Inquiry,low,Problem,Other,Low,send_standard_faq_or_self_service_link,queue_mapping
d850aa83d266e31f,"Problème de priorité moyenne avec la connectivité sans fil  Cher équipe de support de Tech Online Store,  J'espère que ce message vous trouve bien. Je vous écris pour signaler un problème avec la fonctionnalité sans fil de mon imprimante HP",Technical / Online Access,Medium,escalate_to_human_supervisor,0.95,False,[],True,"Triage decision based on neighbor evidence indicating a technical issue with wireless connectivity, suggesting a Product Support queue and medium priority.",simulated_success,human_supervisor_queue,Simulated action: escalate ticket to a human supervisor.,0.0411,2.7806,0.0,0.0,0.0,0.0,2.8217,False,,False,False,[],Technical / Online Access,Medium,0.95,"Triage decision based on neighbor evidence indicating a technical issue with wireless connectivity, suggesting a Product Support queue and medium priority.",,"[""topic_disagreement""]","[""LLM topic = Technical / Online Access, neighbor predicted_proxy_topic = Policy / Contract (confidence: 1.00)""]",Policy / Contract,1.0,medium,0.8005,Product Support,medium,Incident,Policy / Contract,Medium,send_standard_faq_or_self_service_link,queue_mapping
23358d90ecb0f366,"Problème de plantage intermittent d'Excel  Cher support des services informatiques,  Je vous écris pour signaler un problème avec Microsoft Office 365 : Excel après la récente mise à jour du logiciel. Excel plante de manière intermittente, ",Technical / Online Access,Medium,forward_to_technical_support,0.7,False,[],False,"The ticket reports intermittent Excel crashes after an Office 365 update, affecting financial reporting. Neighbor evidence confirms a technical issue with software stability, supporting the initial triage.",simulated_success,technical_support_queue,Simulated action: forward ticket to the technical support queue.,0.0385,2.7456,0.0,6.8507,0.0,0.0,9.635,True,granite4.1:8b,False,False,"[""low_llm_confidence""]",Technical / Online Access,Medium,0.59,"Triage decision based on neighbor evidence indicating a technical issue with Microsoft Office 365, specifically Excel.","The ticket reports intermittent Excel crashes after an Office 365 update, affecting financial reporting. Neighbor evidence confirms a technical issue with software stability, supporting the initial triage.","[""low_llm_confidence""]",[],Technical / Online Access,0.603,medium,0.5919,Technical Support,medium,Problem,Technical / Online Access,Medium,forward_to_technical_support,queue_mapping
bae45a41da502e3b,"Issue with Payment Failure for Microsoft Office 365 Subscription  Hello Tech Online Store Support,   I’m reaching out because I encountered a payment failure when trying to purchase an annual subscription for Microsoft Office 365 on your we",Billing / Payment,Medium,forward_to_billing_team,0.98,False,[],False,"Payment failure issue with Microsoft Office 365 subscription, urgent due to business reliance",simulated_success,billing_team_queue,Simulated action: forward ticket to the billing team queue.,0.0448,2.6362,0.0,0.0,0.0,0.0,2.6811,False,,False,False,[],Billing / Payment,Medium,0.98,"Payment failure issue with Microsoft Office 365 subscription, urgent due to business reliance",,[],[],Billing / Payment,1.0,medium,0.6037,Billing and Payments,medium,Problem,Billing / Payment,Medium,forward_to_billing_team,queue_mapping
49db1f70a8c5c520,"Anfrage zu Umtausch oder Rückerstattung eines fehlerhaften Ultrabooks  Sehr geehrter Tech Online Store,  ich melde eine Fehlfunktion des Touchpads meines Dell XPS 13 9310, die nach nur drei Monaten Nutzung aufgetreten ist. Ich bitte um eine",Claims / Damage,Medium,escalate_to_human_supervisor,0.8,False,[],True,Customer requests exchange or refund for faulty ultrabook due to touchpad malfunction,simulated_success,human_supervisor_queue,Simulated action: escalate ticket to a human supervisor.,0.0439,2.8036,0.0,0.0,0.0,0.0,2.8476,False,,False,False,[],Claims / Damage,Medium,0.8,Customer requests exchange or refund for faulty ultrabook due to touchpad malfunction,,"[""low_neighbor_priority_confidence""]",[],Claims / Damage,0.8045,medium,0.4069,Returns and Exchanges,medium,Problem,Claims / Damage,Medium,create_or_update_claim,queue_mapping
08b37279b5daaa68,"Help Required for Jira Configuration  Greetings Customer Support,  I hope this message finds you in good health. I am in need of assistance with the setup of Jira Software 8.20 for our Human Resources team. Our goal is to enhance our recrui",Technical / Online Access,Medium,escalate_to_human_supervisor,0.7,False,[],True,"The request pertains to configuring Jira Software for HR, which is a technical setup issue; neighbor evidence supports classifying it under Technical / Online Access with medium urgency.",simulated_success,human_supervisor_queue,Simulated action: escalate ticket to a human supervisor.,0.0426,2.7765,0.0,3.2317,0.0,0.0,6.051,True,granite4.1:8b,False,False,"[""topic_disagreement""]",Technical / Online Access,Medium,0.8,Triage decision based on neighbor evidence indicating a technical support request for Jira configuration assistance.,"The request pertains to configuring Jira Software for HR, which is a technical setup issue; neighbor evidence supports classifying it under Technical / Online Access with medium urgency.","[""low_neighbor_topic_confidence"", ""topic_disagreement""]","[""LLM topic = Technical / Online Access, neighbor predicted_proxy_topic = Policy / Contract (confidence: 0.40)""]",Policy / Contract,0.4011,medium,0.6004,Human Resources,low,Request,Other,Low,send_standard_faq_or_self_service_link,queue_mapping
b64deb14d24e7af6,"Assistance Required for Scrum Board Setup  Dear Customer Support Team,   I hope this message finds you well. I am writing to request assistance with setting up Scrum boards in Jira Software 8.20. We are aiming to enhance our project managem",Technical / Online Access,Medium,escalate_to_human_supervisor,0.99,False,[],True,"Triage decision based on neighbor evidence indicating Product Support queue and medium priority, with a strong indication of Technical Support topic.",simulated_success,human_supervisor_queue,Simulated action: escalate ticket to a human supervisor.,0.0424,2.8559,0.0,0.0,0.0,0.0,2.8984,False,,False,False,[],Technical / Online Access,Medium,0.99,"Triage decision based on neighbor evidence indicating Product Support queue and medium priority, with a strong indication of Technical Support topic.",,"[""topic_disagreement""]","[""LLM topic = Technical / Online Access, neighbor predicted_proxy_topic = Policy / Contract (confidence: 1.00)""]",Policy / Contract,1.0,medium,1.0,Product Support,medium,Request,Policy / Contract,Medium,send_standard_faq_or_self_service_link,queue_mapping
d2e29e70c1e18595,"Incident de haute priorité : Défaillance du routeur Cisco ISR4331  Cher Support Client,  Je vous écris pour signaler un incident de haute priorité concernant notre routeur Cisco ISR4331. Depuis ce matin, le routeur a cessé de répondre, ce q",Technical / Online Access,High,escalate_to_human_supervisor,0.99,False,[],False,"Customer reports critical network issue with Cisco ISR4331 router, requesting urgent support and guidance",simulated_success,human_supervisor_queue,Simulated action: escalate ticket to a human supervisor.,0.0447,2.8441,0.0,0.0,0.0,0.0,2.8889,False,,False,False,[],Technical / Online Access,High,0.99,"Customer reports critical network issue with Cisco ISR4331 router, requesting urgent support and guidance",,[],[],Technical / Online Access,1.0,high,1.0,Technical Support,high,Incident,Technical / Online Access,High,forward_to_technical_support,queue_mapping
